mq4,mq7,temperature,humidity,target
202,218,31,69,1
203,219,31,69,1
200,216,31,69,1
200,216,31,69,1
199,215,31,69,1
199,215,31,69,1
199,215,31,69,1
199,215,31,69,1
199,215,31,69,1
199,215,31,69,1
199,215,31,69,1
199,215,31,69,1
199,214,31,69,1
198,214,31,69,1
198,214,31,69,1
198,214,31,69,1
198,214,31,69,1
198,213,31,69,1
198,213,31,69,1
198,213,31,69,1
198,213,31,69,1
197,213,31,69,1
197,212,31,69,1
198,212,31,69,1
197,212,31,69,1
197,212,31,69,1
197,212,31,69,1
197,212,31,69,1
197,212,31,69,1
197,212,31,69,1
197,211,31,69,1
197,211,31,69,1
198,212,31,69,1
197,211,31,69,1
197,212,31,69,1
197,212,31,69,1
197,211,31,69,1
209,211,31,69,1
570,218,31,69,0
648,230,31,69,0
605,227,31,69,0
675,267,31,69,0
581,267,31,69,0
513,259,31,69,0
462,250,31,69,1
434,244,31,69,1
412,239,31,69,1
393,236,31,69,1
378,233,31,69,1
366,232,31,69,1
354,230,31,69,1
344,228,31,69,1
336,226,31,69,1
328,225,31,69,1
322,224,31,69,1
315,223,31,69,1
310,223,31,69,1
303,221,31,69,1
299,220,31,69,1
295,219,31,69,1
291,219,31,69,1
287,219,31,69,1
284,218,31,69,1
281,218,31,69,1
278,217,31,69,1
275,217,31,69,1
273,216,31,69,1
270,216,31,69,1
268,216,31,69,1
266,215,31,69,1
264,215,31,69,1
263,215,31,69,1
261,215,31,69,1
259,215,31,69,1
258,214,31,69,1
256,214,31,69,1
255,214,31,69,1
253,213,31,69,1
252,213,31,69,1
251,213,31,69,1
250,212,31,69,1
248,212,31,69,1
248,212,31,69,1
246,212,31,69,1
246,212,31,69,1
245,212,31,69,1
244,212,31,69,1
243,212,31,69,1
252,236,31,69,1
244,222,31,69,1
243,223,31,69,1
239,219,31,69,1
239,219,31,69,1
237,220,31,69,1
236,219,31,69,1
235,224,31,69,1
234,221,31,69,1
233,221,31,69,1
232,220,31,69,1
230,220,31,69,1
230,219,31,69,1
229,219,31,69,1
228,218,31,69,1
228,218,31,69,1
228,219,31,69,1
227,221,31,69,1
225,221,31,69,1
225,217,31,69,1
223,212,31,69,1
222,214,31,69,1
222,214,31,69,1
222,213,31,69,1
222,213,31,69,1
222,211,31,69,1
221,211,31,69,1
220,210,31,69,1
220,209,31,69,1
219,209,31,69,1
219,208,31,69,1
218,208,31,69,1
218,208,31,69,1
217,207,31,69,1
217,207,31,69,1
217,207,31,69,1
216,207,31,69,1
216,207,31,69,1
215,206,31,69,1
215,205,31,69,1
214,205,31,69,1
214,205,31,69,1
213,205,31,69,1
213,204,31,69,1
212,204,31,69,1
212,203,31,69,1
212,203,31,69,1
212,203,31,69,1
212,204,31,69,1
212,204,31,69,1
212,204,31,69,1
212,204,31,69,1
211,204,31,69,1
211,203,31,69,1
210,202,31,69,1
210,202,31,69,1
210,202,31,69,1
210,202,31,69,1
209,202,31,69,1
209,202,31,69,1
209,202,31,69,1
209,201,31,69,1
208,201,31,69,1
208,201,31,69,1
208,201,31,69,1
208,201,31,69,1
207,201,31,69,1
207,201,31,69,1
207,201,31,69,1
207,201,31,69,1
207,200,31,69,1
207,200,31,69,1
207,200,31,69,1
206,200,31,69,1
206,200,31,69,1
206,200,31,69,1
206,200,31,69,1
206,200,31,69,1
206,200,31,69,1
205,200,31,69,1
206,201,31,69,1
205,201,31,69,1
208,203,31,69,1
207,203,31,69,1
207,202,31,69,1
206,202,31,69,1
206,202,31,69,1
206,202,31,69,1
206,202,31,69,1
206,202,31,69,1
205,201,31,69,1
205,201,31,69,1
205,201,31,69,1
205,201,31,69,1
205,201,31,69,1
205,201,31,69,1
204,201,31,69,1
204,201,31,69,1
204,200,31,69,1
203,200,31,69,1
203,200,31,69,1
203,200,31,69,1
203,200,31,69,1
203,199,31,69,1
202,200,31,69,1
202,199,31,69,1
202,199,31,69,1
202,199,31,69,1
202,199,31,69,1
202,199,31,69,1
202,199,31,69,1
201,199,31,69,1
201,199,31,69,1
202,199,31,69,1
202,199,31,69,1
201,200,31,69,1
201,199,31,69,1
201,199,31,69,1
201,199,31,69,1
201,199,31,69,1
201,199,31,69,1
200,199,31,69,1
200,199,31,69,1
200,199,31,69,1
200,198,31,69,1
200,198,31,69,1
200,198,31,69,1
200,198,31,69,1
199,198,31,69,1
199,198,31,69,1
199,197,31,69,1
199,198,31,69,1
199,197,31,69,1
199,197,31,69,1
199,197,31,69,1
197,196,31,69,1
198,196,31,69,1
198,196,31,69,1
198,196,31,69,1
198,197,31,69,1
196,195,31,69,1
195,194,31,69,1
195,194,31,69,1
196,194,31,69,1
195,194,31,69,1
195,194,31,69,1
195,194,31,69,1
195,194,31,69,1
197,196,31,69,1
197,196,31,69,1
197,196,31,69,1
197,196,31,69,1
197,196,31,69,1
197,196,31,69,1
197,196,31,69,1
197,196,31,69,1
197,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
196,195,31,69,1
195,195,31,69,1
196,195,31,69,1
196,195,31,69,1
195,195,31,69,1
196,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,195,31,69,1
195,196,31,69,1
195,196,31,69,1
195,196,31,69,1
195,196,31,69,1
195,196,31,69,1
195,196,31,69,1
195,196,31,69,1
195,196,31,69,1
198,199,31,69,1
198,199,31,69,1
199,200,31,69,1
198,199,31,69,1
198,199,31,69,1
197,199,31,69,1
197,199,31,70,1
198,199,31,70,1
197,199,31,70,1
197,199,31,70,1
197,198,31,70,1
197,199,31,70,1
196,198,31,70,1
197,199,31,70,1
196,197,31,70,1
196,198,31,70,1
196,198,31,70,1
197,199,31,70,1
196,198,31,70,1
197,199,31,70,1
196,198,31,70,1
197,199,31,70,1
196,198,31,70,1
196,199,31,70,1
196,198,31,70,1
196,198,31,70,1
196,198,31,70,1
196,199,31,70,1
196,198,31,70,1
195,198,31,70,1
195,198,31,70,1
195,198,31,70,1
195,198,31,70,1
195,197,31,70,1
194,198,31,70,1
194,197,31,70,1
194,197,31,70,1
195,198,31,70,1
194,198,31,70,1
194,197,31,70,1
194,198,31,70,1
194,197,31,70,1
194,197,31,70,1
194,197,31,70,1
194,197,31,70,1
194,197,31,70,1
193,197,31,70,1
194,197,31,70,1
193,197,31,70,1
194,197,31,70,1
193,197,31,70,1
193,197,31,70,1
193,197,31,70,1
193,197,31,70,1
193,197,31,70,1
193,197,31,70,1
193,197,31,70,1
193,197,31,70,1
193,197,31,70,1
193,197,31,70,1
192,196,31,70,1
192,196,31,70,1
192,196,31,70,1
192,196,31,70,1
192,196,31,70,1
191,195,31,70,1
191,196,31,70,1
191,196,31,70,1
191,196,31,70,1
191,196,31,70,1
191,195,31,70,1
191,195,31,70,1
191,195,31,70,1
191,195,31,70,1
191,195,31,70,1
191,195,31,70,1
190,195,31,70,1
190,195,31,70,1
190,195,31,70,1
